username,age,gender,type_of_consulting,consulting_content,sentiment,the_consultant
samanthahenson,28,Male,Business,Marketing strategies,0.88,Human
stanleymanning,65,Male,Lifestyle,Travel planning,0.57,AI
gregory44,53,Female,Personal,Life goal planning,0.73,Human
griffithelizabeth,34,Other,Personal,Career coaching,0.23,AI
kenneth21,33,Male,Personal,Career coaching,0.22,AI
stephendavis,22,Female,Business,Marketing strategies,0.0,AI
tammy28,41,Female,Technology,Gadget recommendations,0.79,AI
alexolson,42,Female,Business,Productivity tools,0.8,Human
william28,24,Female,Business,Productivity tools,0.06,AI
david83,52,Female,Business,Starting a small business,0.34,AI
millerbenjamin,56,Male,Business,Marketing strategies,0.11,AI
charles99,25,Female,Personal,Relationship advice,0.49,AI
lewisjennifer,20,Male,Personal,Relationship advice,0.04,AI
kevinramirez,56,Male,Financial,Budgeting and saving,0.42,Human
janetbutler,55,Female,Personal,Relationship advice,0.7,Human
kbradley,37,Other,Lifestyle,Home organization hacks,0.65,AI
chad60,22,Other,Health,Exercise routines,0.04,Human
yromero,62,Male,Health,Chronic illness management,0.58,Human
youngmary,24,Female,Technology,Emerging tech trends,0.03,Human
monica68,50,Male,Financial,Tax optimization,0.14,Human
amyriley,20,Male,Personal,Career coaching,0.57,AI
randy69,18,Female,Personal,Life goal planning,0.87,Human
loribarajas,28,Female,Health,Exercise routines,0.86,AI
michaelburns,22,Male,Business,Leadership and management,0.85,Human
balldaryl,21,Male,Health,Mental wellness,0.86,AI
omeyer,70,Male,Financial,Retirement planning,0.75,AI
samantha93,19,Other,Personal,Life goal planning,0.26,AI
vmorris,46,Female,Health,Chronic illness management,0.46,Human
linda24,40,Female,Business,Starting a small business,0.82,Human
gbeck,35,Other,Financial,Budgeting and saving,0.78,AI
william76,47,Other,Financial,Tax optimization,0.35,Human
grahammeagan,60,Male,Financial,Investment strategies,0.99,AI
cwalker,57,Other,Health,Mental wellness,0.43,Human
sara46,23,Female,Technology,Emerging tech trends,0.79,AI
gabriellawilliams,18,Male,Technology,Emerging tech trends,0.9,AI
huffjennifer,58,Other,Financial,Budgeting and saving,0.66,Human
smithkristen,41,Male,Lifestyle,Home organization hacks,0.64,AI
ydavis,49,Other,Business,Productivity tools,0.54,AI
hallrhonda,28,Male,Technology,Emerging tech trends,0.09,Human
garzaraymond,68,Female,Technology,Cybersecurity best practices,0.42,Human
stewartjohn,68,Female,Lifestyle,Home organization hacks,0.09,AI
alan21,40,Female,Personal,Life goal planning,0.47,AI
muellerlindsay,32,Male,Personal,Relationship advice,0.09,AI
reginald77,61,Male,Personal,Stress management techniques,0.74,Human
ysmith,49,Other,Financial,Budgeting and saving,0.88,AI
timothymurphy,21,Other,Lifestyle,Sustainable living tips,0.87,Human
michelleclark,19,Female,Health,Exercise routines,0.63,Human
jonesraymond,51,Other,Lifestyle,Home organization hacks,0.76,Human
rothsergio,66,Female,Business,Starting a small business,0.75,Human
keithbush,18,Female,Technology,Gadget recommendations,0.3,Human
jackwilliams,28,Other,Financial,Investment strategies,0.7,AI
pricelisa,29,Female,Lifestyle,Sustainable living tips,0.04,AI
dawnnicholson,26,Other,Lifestyle,Personal development,0.72,Human
